"ID"|"project_name"|"subcategory_name"|"category_name"|"country"|"currency"|"launch_date"|"deadline_date"|"duration_days"|"goal"|"money_raised"|"no_of_backers"|"outcome"
11205|"MADCAP LEAGUE COMEDY FOOTBALL / SOCCER GAME (Canceled)"|"Tabletop Games"|"Games"|"GB"|"GBP"|"2013-06-17 00:00:00"|"2013-07-17 00:00:00"|30|15260.19|611.93|8|"canceled"
11206|"Stick Vet Comics"|"Webcomics"|"Comics"|"US"|"USD"|"2017-03-15 00:00:00"|"2017-04-29 00:00:00"|45|5000.0|21194.19|268|"successful"
11207|"Jeux Express"|"Video Games"|"Games"|"CA"|"CAD"|"2014-11-07 00:00:00"|"2015-01-06 00:00:00"|60|42301.18|120.14|8|"failed"
11208|"Outside the Box- Debut Album!"|"Rock"|"Music"|"US"|"USD"|"2011-05-24 00:00:00"|"2011-06-23 00:00:00"|30|10000.0|11497.0|102|"successful"
11209|"OMG! Dreams can come true."|"Apps"|"Technology"|"US"|"USD"|"2015-12-29 00:00:00"|"2016-01-28 00:00:00"|30|5000.0|0.0|0|"failed"
11210|"ReDeus"|"Fiction"|"Publishing"|"US"|"USD"|"2010-04-01 00:00:00"|"2010-06-30 00:00:00"|90|15000.0|3866.0|27|"failed"
11211|"Oh Snap!!"|"Product Design"|"Design"|"US"|"USD"|"2014-09-10 00:00:00"|"2014-10-25 00:00:00"|45|300.0|125.0|2|"failed"
11212|"My Teacher"|"Music"|"Music"|"US"|"USD"|"2012-03-22 00:00:00"|"2012-04-09 00:00:00"|18|600.0|640.0|31|"successful"
11213|"Droid"|"Shorts"|"Film & Video"|"US"|"USD"|"2012-04-02 00:00:00"|"2012-04-26 00:00:00"|24|15000.0|100.0|1|"failed"
11214|"Pink Slip Winter Tour"|"Rock"|"Music"|"US"|"USD"|"2012-01-11 00:00:00"|"2012-01-26 00:00:00"|15|750.0|760.0|9|"successful"
11215|"The WeeWow"|"Product Design"|"Design"|"US"|"USD"|"2013-02-12 00:00:00"|"2013-03-16 00:00:00"|32|16000.0|5228.0|214|"failed"
11216|"Rautio Piano Trio recording Beethoven, Schubert and Hiller"|"Classical Music"|"Music"|"GB"|"GBP"|"2015-11-11 00:00:00"|"2015-12-12 00:00:00"|31|7232.33|7722.93|85|"successful"
11217|"Art Nurture: The Book"|"Nonfiction"|"Publishing"|"US"|"USD"|"2012-10-24 00:00:00"|"2012-11-25 00:00:00"|32|5000.0|5185.0|93|"successful"
11218|"Homemade Seafood Salad + Homemade Iced Tea!"|"Food"|"Food"|"US"|"USD"|"2015-03-31 00:00:00"|"2015-05-30 00:00:00"|60|60000.0|7.0|2|"failed"
11219|"The Uprising: Resistance Fighter Casimir Biebers"|"Narrative Film"|"Film & Video"|"US"|"USD"|"2014-03-14 00:00:00"|"2014-04-14 00:00:00"|31|2500.0|125.0|7|"failed"
11220|"""KEYS"" Student Produced Film"|"Shorts"|"Film & Video"|"US"|"USD"|"2014-03-05 00:00:00"|"2014-03-30 00:00:00"|25|500.0|166.0|8|"failed"
11221|"NEW Amy Andrews Album"|"Music"|"Music"|"US"|"USD"|"2017-03-01 00:00:00"|"2017-04-01 00:00:00"|31|10000.0|11385.0|118|"successful"
11222|"Project Freelancer Red vs Blue"|"Woodworking"|"Crafts"|"CA"|"CAD"|"2016-09-27 00:00:00"|"2016-11-02 00:00:00"|36|8933.22|0.0|0|"failed"
11223|"TypeFace: Presidents of the United States"|"Art Books"|"Publishing"|"US"|"USD"|"2012-11-14 00:00:00"|"2012-11-21 00:00:00"|7|100.0|0.0|0|"failed"
11224|"Come Play with Whaley's Balls!"|"Performance Art"|"Art"|"US"|"USD"|"2014-04-07 00:00:00"|"2014-04-25 00:00:00"|18|500.0|223.88|14|"failed"
11225|"Gray Matters, A Rubik's Cube Mosaic"|"Art"|"Art"|"US"|"USD"|"2012-05-01 00:00:00"|"2012-06-30 00:00:00"|60|30000.0|1561.0|22|"failed"
11226|"The Wasted Hours (Canceled)"|"Photography"|"Photography"|"US"|"USD"|"2013-03-22 00:00:00"|"2013-04-21 00:00:00"|30|300.0|35.0|6|"canceled"
11227|"ONE at Central Park"|"Technology"|"Technology"|"US"|"USD"|"2013-05-24 00:00:00"|"2013-07-08 00:00:00"|45|100000.0|99065.49|739|"failed"
11228|"Taneycomo Festival Orchestra"|"Classical Music"|"Music"|"US"|"USD"|"2011-12-22 00:00:00"|"2012-02-20 00:00:00"|60|50000.0|570.0|8|"failed"
11229|"Epica - A Sci-fi Tactical RPG"|"Video Games"|"Games"|"CA"|"CAD"|"2016-09-03 00:00:00"|"2016-10-03 00:00:00"|30|4521.14|1426.42|59|"failed"
11230|"Environmental Awareness Fine Art Exhibition- by Eiko Jones"|"Fine Art"|"Photography"|"CA"|"CAD"|"2015-03-10 00:00:00"|"2015-04-09 00:00:00"|30|14213.52|1116.55|11|"failed"
11231|"WHICH ONE ARE YOU? - plush doll series."|"Product Design"|"Design"|"DE"|"EUR"|"2016-07-05 00:00:00"|"2016-08-04 00:00:00"|30|16733.97|6582.03|50|"canceled"
11232|"The New Music Buzz"|"Film & Video"|"Film & Video"|"US"|"USD"|"2014-02-12 00:00:00"|"2014-03-13 00:00:00"|29|30000.0|0.0|0|"failed"
11233|"A One of A Kind Event Venue: Red Rose Kitchens & Venue!"|"Food"|"Food"|"US"|"USD"|"2015-10-23 00:00:00"|"2015-11-07 00:00:00"|15|2000.0|0.0|0|"failed"
11234|"Boek 'Hoge nood wordt deugd: verhaal van een Crohn-getuige'"|"Nonfiction"|"Publishing"|"NL"|"EUR"|"2015-04-20 00:00:00"|"2015-05-20 00:00:00"|30|3349.19|3446.87|73|"successful"
11235|"We all have flaws"|"Children's Books"|"Publishing"|"US"|"USD"|"2015-05-27 00:00:00"|"2015-06-26 00:00:00"|30|5000.0|109.0|2|"failed"
11236|"Pochecko-The Poker Based Strategy Board Game"|"Games"|"Games"|"US"|"USD"|"2013-03-26 00:00:00"|"2013-04-22 00:00:00"|27|10000.0|490.0|7|"failed"
11237|"Awful Fantasy: The Card Game"|"Tabletop Games"|"Games"|"US"|"USD"|"2016-05-03 00:00:00"|"2016-06-06 00:00:00"|34|20000.0|88936.01|2994|"successful"
11238|"Repenting Rebel Radio"|"Radio & Podcasts"|"Publishing"|"US"|"USD"|"2016-09-29 00:00:00"|"2016-10-23 00:00:00"|24|9000.0|1.0|1|"failed"
11239|"CONSTANTIN: The Seagull Revisited"|"Theater"|"Theater"|"US"|"USD"|"2012-02-10 00:00:00"|"2012-03-04 00:00:00"|23|1000.0|1000.0|13|"successful"
11240|"SEASONS Volume 1: Spring"|"Graphic Novels"|"Comics"|"US"|"USD"|"2017-06-05 00:00:00"|"2017-07-15 00:00:00"|40|6500.0|6562.0|113|"successful"
11241|"Toolman - Bottle Opener & EDC Multi-Tool"|"Product Design"|"Design"|"SG"|"SGD"|"2016-12-12 00:00:00"|"2017-01-11 00:00:00"|30|3505.57|571.41|11|"failed"
11242|"Igloo - The Ultimate Travel Pillow Set!"|"Design"|"Design"|"CA"|"CAD"|"2017-11-07 00:00:00"|"2017-12-23 00:00:00"|46|20733.65|7345.3|99|"failed"
11243|"YEAR OF THE SNAKE"|"Shorts"|"Film & Video"|"GB"|"GBP"|"2013-02-12 00:00:00"|"2013-02-19 00:00:00"|7|1223.69|61.18|1|"failed"
11244|"Be a movie producer for the film ""3rd Wheel"""|"Narrative Film"|"Film & Video"|"US"|"USD"|"2011-05-14 00:00:00"|"2011-08-12 00:00:00"|90|40000.0|300.0|5|"failed"
11245|"Smart APP Search Engine"|"Apps"|"Technology"|"US"|"USD"|"2016-04-01 00:00:00"|"2016-05-01 00:00:00"|30|250000.0|0.0|0|"failed"
11246|"Next Art Nouveau Winged Queen (Number 5!) by Echo Chernik"|"Illustration"|"Art"|"US"|"USD"|"2017-04-01 00:00:00"|"2017-04-02 00:00:00"|1|8888.0|8385.0|71|"failed"
11247|"Sisyphus – The Kinetic Art Table"|"Sculpture"|"Art"|"US"|"USD"|"2016-09-24 00:00:00"|"2016-10-24 00:00:00"|30|50000.0|1924018.0|1992|"successful"
11248|"""Hall of Mirrors/Room of Woes"" (Canceled)"|"Country & Folk"|"Music"|"US"|"USD"|"2014-02-05 00:00:00"|"2014-03-07 00:00:00"|30|14000.0|9935.0|193|"canceled"
11249|"Sarvi Dock - A universal dock for Apple and Android devices."|"Product Design"|"Design"|"US"|"USD"|"2017-10-17 00:00:00"|"2017-12-01 00:00:00"|45|20000.0|38187.0|732|"successful"
11250|"Seal Pups of 3 Tree"|"Documentary"|"Film & Video"|"US"|"USD"|"2012-04-10 00:00:00"|"2012-05-10 00:00:00"|30|900.0|37.0|2|"failed"
11251|"World Supper Adventure"|"Food"|"Food"|"US"|"USD"|"2010-08-25 00:00:00"|"2010-10-01 00:00:00"|37|15017.0|2622.02|60|"failed"
11252|"REMAINS OF JADE NEEDS YOUR SUPPORT TO HIT BIG WITH NEW CD!"|"Rock"|"Music"|"US"|"USD"|"2013-07-09 00:00:00"|"2013-08-18 00:00:00"|40|3500.0|80.0|3|"failed"
11253|"*SASHA PEARL*FRIENDSHIP STREET*CD!"|"Music"|"Music"|"US"|"USD"|"2011-09-26 00:00:00"|"2011-10-11 00:00:00"|15|1500.0|2768.0|67|"successful"
11254|"Auto Bright: The Cabinet Light"|"Product Design"|"Design"|"US"|"USD"|"2013-07-23 00:00:00"|"2013-08-20 00:00:00"|28|12000.0|781.0|22|"failed"
11255|"15x20 Adventure Bag"|"Product Design"|"Design"|"US"|"USD"|"2013-08-22 00:00:00"|"2013-09-21 00:00:00"|30|1000.0|1037.0|12|"successful"
11256|"Monstrous..."|"Webseries"|"Film & Video"|"US"|"USD"|"2014-04-07 00:00:00"|"2014-05-07 00:00:00"|30|37500.0|315.0|7|"failed"
11257|"SmartScope - Reinventing the oscilloscope"|"DIY Electronics"|"Technology"|"US"|"USD"|"2014-01-22 00:00:00"|"2014-02-21 00:00:00"|30|50000.0|322697.96|1459|"successful"
11258|"Kate Faust - Crucial Companion EP"|"Electronic Music"|"Music"|"US"|"USD"|"2012-09-15 00:00:00"|"2012-10-15 00:00:00"|30|2000.0|2887.23|84|"successful"
11259|"An introduction to robotics for early learners (Canceled)"|"DIY Electronics"|"Technology"|"US"|"USD"|"2016-02-03 00:00:00"|"2016-03-04 00:00:00"|30|65000.0|5801.0|81|"canceled"
11260|"Funds needed for promotion website"|"Places"|"Photography"|"NL"|"EUR"|"2015-10-06 00:00:00"|"2015-11-05 00:00:00"|30|162.96|0.0|0|"failed"
11261|"Mannequin"|"Shorts"|"Film & Video"|"US"|"USD"|"2012-03-10 00:00:00"|"2012-03-23 00:00:00"|13|500.0|725.0|6|"successful"
11262|"Make Spoiled Prince Official!"|"Apparel"|"Fashion"|"US"|"USD"|"2015-08-22 00:00:00"|"2015-10-21 00:00:00"|60|20000.0|0.0|0|"failed"
11263|"DELONE | Authentic Swiss Made Watches"|"Product Design"|"Design"|"DE"|"EUR"|"2017-11-22 00:00:00"|"2017-12-22 00:00:00"|30|35558.93|10268.23|52|"canceled"
11264|"The Minders ""Into The River"" Album Release"|"Indie Rock"|"Music"|"US"|"USD"|"2015-12-01 00:00:00"|"2016-01-07 00:00:00"|37|7000.0|7997.0|121|"successful"
11265|"The Art of Words - First Poetry Book Publication"|"Poetry"|"Publishing"|"US"|"USD"|"2013-04-23 00:00:00"|"2013-06-22 00:00:00"|60|3000.0|3060.5|67|"successful"
11266|"Uncle T's"|"Food"|"Food"|"US"|"USD"|"2012-02-01 00:00:00"|"2012-02-21 00:00:00"|20|20000.0|0.0|0|"failed"
11267|"The Bridge Theatre Company presents Kate Hewlett's ""The Swearing Jar"" at FringeNYC"|"Theater"|"Theater"|"US"|"USD"|"2010-07-23 00:00:00"|"2010-08-15 00:00:00"|23|2850.0|2850.0|33|"successful"
11268|"Cats in the book-bookmark for books."|"Graphic Design"|"Design"|"US"|"USD"|"2015-09-21 00:00:00"|"2015-10-05 00:00:00"|14|1.0|121.0|9|"successful"
11269|"ADVENT SAGA, DIGITAL TACTICAL CARD GAME"|"Video Games"|"Games"|"US"|"USD"|"2014-07-01 00:00:00"|"2014-07-31 00:00:00"|30|70000.0|15542.11|260|"failed"
11270|"""Argyle (Part 1)"" Film Project"|"Documentary"|"Film & Video"|"US"|"USD"|"2010-09-28 00:00:00"|"2010-11-07 00:00:00"|40|1000.0|1855.0|11|"successful"
11271|"Kay's Adventure Diary"|"Children's Books"|"Publishing"|"US"|"USD"|"2017-03-15 00:00:00"|"2017-04-15 00:00:00"|31|2500.0|2740.0|65|"successful"
11272|"Terezín's The Fireflies - Terezíns Ildfluer"|"Musical"|"Theater"|"DK"|"DKK"|"2015-03-03 00:00:00"|"2015-04-05 00:00:00"|33|2829.37|4271.37|78|"successful"
11273|"The Crowded Void"|"Fiction"|"Publishing"|"US"|"USD"|"2014-07-10 00:00:00"|"2014-08-09 00:00:00"|30|5000.0|0.0|0|"failed"
11274|"Foal Rescue in the Dartmouth/Lake Sunapee, NH Area (Suspended)"|"Photography"|"Photography"|"US"|"USD"|"2010-10-08 00:00:00"|"2011-01-06 00:00:00"|90|5000.0|0.0|0|"suspended"
11275|"Karnage: Dawn of Upheaval"|"Mobile Games"|"Games"|"NO"|"NOK"|"2015-09-09 00:00:00"|"2015-10-21 00:00:00"|42|149743.64|2209.26|89|"failed"
11276|"Sir New York - Menswear line"|"Fashion"|"Fashion"|"US"|"USD"|"2011-05-24 00:00:00"|"2011-06-23 00:00:00"|30|6000.0|6249.0|105|"successful"
11277|"World Premiere of Enoch"|"Classical Music"|"Music"|"US"|"USD"|"2012-11-28 00:00:00"|"2013-01-19 00:00:00"|52|3000.0|3005.0|25|"successful"
11278|"2018 Polarised Magnetic Lens Change Ski Goggles by Summit"|"Product Design"|"Design"|"GB"|"GBP"|"2017-10-02 00:00:00"|"2017-11-01 00:00:00"|30|19663.62|22753.43|166|"successful"
11279|"LEGENDARY MONSTERS: Toys of Urban Legend and Folklore"|"Product Design"|"Design"|"US"|"USD"|"2013-02-05 00:00:00"|"2013-03-09 00:00:00"|32|25000.0|14865.0|174|"failed"
11280|"M A R T I N K E L L E"|"People"|"Photography"|"DE"|"EUR"|"2015-06-22 00:00:00"|"2015-07-22 00:00:00"|30|21878.01|1.09|1|"failed"
11281|"jenea.jpg photography: the genesis"|"Fine Art"|"Photography"|"US"|"USD"|"2016-07-09 00:00:00"|"2016-08-08 00:00:00"|30|1500.0|0.0|0|"canceled"
11282|"Steph Anderson: Like a Metronome"|"Indie Rock"|"Music"|"US"|"USD"|"2011-05-11 00:00:00"|"2011-06-10 00:00:00"|30|1600.0|2080.0|65|"successful"
11283|"Aviation Brewing Company"|"Drinks"|"Food"|"US"|"USD"|"2016-06-27 00:00:00"|"2016-07-27 00:00:00"|30|300000.0|403.0|8|"canceled"
11284|"Dutch Apple Pie for all!"|"Small Batch"|"Food"|"US"|"USD"|"2014-09-29 00:00:00"|"2014-10-29 00:00:00"|30|100.0|30.0|1|"failed"
11285|"DinoGenics: Dinosaur Park Management"|"Tabletop Games"|"Games"|"US"|"USD"|"2017-10-03 00:00:00"|"2017-11-02 00:00:00"|30|30000.0|144682.0|2726|"successful"
11286|"ENTER ME TONIGHT •• Testimonies on Evolution Strategies"|"Publishing"|"Publishing"|"CA"|"CAD"|"2014-11-21 00:00:00"|"2014-12-22 00:00:00"|31|5175.98|5235.51|48|"successful"
11287|"June Bride: Redemption of a Yakuza"|"Documentary"|"Film & Video"|"US"|"USD"|"2011-08-23 00:00:00"|"2011-10-22 00:00:00"|60|18000.0|1325.0|14|"failed"
11288|"The Feedback Fractal Project"|"Art"|"Art"|"US"|"USD"|"2014-01-15 00:00:00"|"2014-02-14 00:00:00"|30|30000.0|4704.0|43|"failed"
11289|"A Drink With Dave: Season Two"|"Webseries"|"Film & Video"|"US"|"USD"|"2012-06-11 00:00:00"|"2012-07-11 00:00:00"|30|30000.0|11258.0|212|"failed"
11290|"Back to Basra: Memoirs of an Iraqi Life"|"Nonfiction"|"Publishing"|"US"|"USD"|"2014-11-06 00:00:00"|"2014-12-06 00:00:00"|30|5000.0|350.0|3|"failed"
11291|"Saga of the Samurai 6 - Shingen The Last Campaign"|"Nonfiction"|"Publishing"|"NO"|"NOK"|"2016-09-05 00:00:00"|"2016-10-05 00:00:00"|30|6807.01|6930.9|34|"successful"
11292|"LostCar"|"Web"|"Technology"|"US"|"USD"|"2015-02-09 00:00:00"|"2015-03-11 00:00:00"|30|10000.0|0.0|0|"failed"
11293|"The Affiliates Apparel Co."|"Apparel"|"Fashion"|"US"|"USD"|"2016-01-10 00:00:00"|"2016-03-10 00:00:00"|60|2000.0|1.0|1|"failed"
11294|"Bolde Cards For The Relationships Single Women *Really* Have"|"Publishing"|"Publishing"|"US"|"USD"|"2017-06-12 00:00:00"|"2017-07-27 00:00:00"|45|10000.0|2033.0|11|"canceled"
11295|"Photographer's Guide to Nova Scotia"|"Film & Video"|"Film & Video"|"CA"|"CAD"|"2016-03-08 00:00:00"|"2016-04-08 00:00:00"|31|84110.72|383.85|7|"failed"
11296|"The Beop Portal"|"Pop"|"Music"|"NZ"|"NZD"|"2014-06-16 00:00:00"|"2014-07-16 00:00:00"|30|5208.79|5733.14|56|"successful"
11297|"Firmament Wars: Multiplayer Realtime Grand Strategy Warfare"|"Video Games"|"Games"|"US"|"USD"|"2017-01-24 00:00:00"|"2017-02-23 00:00:00"|30|5000.0|600.0|14|"failed"
11298|"3Dsimo mini - Make your vision come true"|"Gadgets"|"Technology"|"US"|"USD"|"2015-08-28 00:00:00"|"2015-10-12 00:00:00"|45|35000.0|229958.0|1822|"successful"
11299|"Bully101"|"Documentary"|"Film & Video"|"US"|"USD"|"2011-03-13 00:00:00"|"2011-05-14 00:00:00"|62|10000.0|0.0|0|"failed"
11300|"Brandon Campbell's New Album!"|"Jazz"|"Music"|"US"|"USD"|"2017-08-16 00:00:00"|"2017-09-15 00:00:00"|30|1500.0|295.0|10|"failed"
11301|"#NeverTrump Bumper Sticker"|"Graphic Design"|"Design"|"US"|"USD"|"2016-08-16 00:00:00"|"2016-09-15 00:00:00"|30|300.0|46.0|4|"failed"
11302|"Fool’s Gold- Gloria Bangiola’s second album!"|"Country & Folk"|"Music"|"US"|"USD"|"2015-03-25 00:00:00"|"2015-04-24 00:00:00"|30|2000.0|2056.0|41|"successful"
11303|"Love Flame Candles (Romance candles and Candle holders)"|"Candles"|"Crafts"|"US"|"USD"|"2015-02-17 00:00:00"|"2015-03-01 00:00:00"|12|500.0|0.0|0|"failed"
11304|"CRICKET MAN:MBK"|"Publishing"|"Publishing"|"US"|"USD"|"2015-08-29 00:00:00"|"2015-09-13 00:00:00"|15|14000.0|1.0|1|"failed"
11305|"I, Creator 2: Goddess Of The Hunt"|"Shorts"|"Film & Video"|"US"|"USD"|"2011-04-05 00:00:00"|"2011-05-05 00:00:00"|30|2000.0|85.0|2|"failed"
11306|"Cello Technique Videos"|"Classical Music"|"Music"|"US"|"USD"|"2012-04-26 00:00:00"|"2012-05-26 00:00:00"|30|2750.0|3385.0|40|"successful"
11307|"MicroLink GSM - tiny, Arduino compatible, rapid prototyping"|"DIY Electronics"|"Technology"|"AU"|"AUD"|"2014-10-08 00:00:00"|"2014-11-18 00:00:00"|41|34852.31|26939.1|369|"failed"
11308|"JWOL Full Length Album"|"Electronic Music"|"Music"|"US"|"USD"|"2017-07-03 00:00:00"|"2017-08-17 00:00:00"|45|1000.0|0.0|0|"failed"
11309|"David Stefanich's FIRST BOOK - Stand Up"|"Children's Books"|"Publishing"|"US"|"USD"|"2014-07-08 00:00:00"|"2014-08-07 00:00:00"|30|6000.0|6318.0|121|"successful"
11310|"Quadcopter, Drone ( THE TANK, SPORT FRAME  )"|"Flight"|"Technology"|"CA"|"CAD"|"2014-08-09 00:00:00"|"2014-09-08 00:00:00"|30|9042.41|91.33|3|"failed"
11311|"Merch and EP release!"|"Rock"|"Music"|"US"|"USD"|"2012-01-07 00:00:00"|"2012-02-21 00:00:00"|45|200.0|240.0|11|"successful"
11312|"The Process"|"Webseries"|"Film & Video"|"US"|"USD"|"2012-09-13 00:00:00"|"2012-10-13 00:00:00"|30|8000.0|2718.0|83|"failed"
11313|"Finding Design in the Branches"|"Art"|"Art"|"US"|"USD"|"2014-02-11 00:00:00"|"2014-03-08 00:00:00"|25|1350.0|1370.0|39|"successful"
11314|"Barefoot Gen for Schools and Libraries"|"Graphic Novels"|"Comics"|"US"|"USD"|"2015-08-04 00:00:00"|"2015-09-11 00:00:00"|38|36000.0|37276.82|669|"successful"
11315|"Earth-Shot Weed Control: The Organic Way to Eliminate Weeds"|"Design"|"Design"|"US"|"USD"|"2015-07-10 00:00:00"|"2015-08-14 00:00:00"|35|5000.0|5055.0|28|"successful"
11316|"Field KABUKI!: Hannibal Art Book Vol.2"|"Illustration"|"Art"|"US"|"USD"|"2014-11-14 00:00:00"|"2014-12-14 00:00:00"|30|4500.0|14011.0|341|"successful"
11317|"Sounds of Winston-Salem"|"Music"|"Music"|"N,0"""|"USD"|"2015-11-19 00:00:00"|"2016-01-17 00:00:00"|59|7500.0|160.0|0|"undefined"
11318|"Phone-Tastic View: Your Name on a Sign Overlooking Manhattan"|"Photography"|"Photography"|"US"|"USD"|"2009-08-12 00:00:00"|"2009-09-10 00:00:00"|29|500.0|900.0|32|"successful"
11319|"1,000 Letters from Europe"|"Places"|"Photography"|"US"|"USD"|"2014-08-05 00:00:00"|"2014-09-04 00:00:00"|30|10000.0|740.0|13|"failed"
11320|"Color Box"|"Video Games"|"Games"|"ES"|"EUR"|"2016-10-20 00:00:00"|"2016-11-14 00:00:00"|25|2125.81|4.25|2|"failed"
11321|"The Protester"|"Painting"|"Art"|"US"|"USD"|"2012-06-25 00:00:00"|"2012-07-16 00:00:00"|21|3500.0|3844.0|15|"successful"
11322|"Kent Moran New Album"|"Indie Rock"|"Music"|"US"|"USD"|"2013-04-17 00:00:00"|"2013-05-17 00:00:00"|30|10000.0|10397.0|100|"successful"
11323|"Smart Trip Planner"|"Apps"|"Technology"|"US"|"USD"|"2017-07-19 00:00:00"|"2017-09-02 00:00:00"|45|10000.0|10.0|1|"failed"
11324|"Z-Utopia"|"Video Games"|"Games"|"GB"|"GBP"|"2014-12-09 00:00:00"|"2015-01-08 00:00:00"|30|7573.46|895.18|6|"failed"
11325|"North MS Kairos Music CD"|"Music"|"Music"|"US"|"USD"|"2011-03-03 00:00:00"|"2011-05-03 00:00:00"|61|3000.0|4155.0|58|"successful"
11326|"Anchor Town: An Alaskan Artist's Dream"|"Apparel"|"Fashion"|"US"|"USD"|"2014-04-08 00:00:00"|"2014-04-29 00:00:00"|21|5000.0|1542.0|37|"failed"
11327|"Homesick"|"Film & Video"|"Film & Video"|"US"|"USD"|"2013-09-09 00:00:00"|"2013-10-09 00:00:00"|30|22000.0|23228.0|59|"successful"
11328|"The Minde App: Meeting New People, Made Simple"|"Apps"|"Technology"|"US"|"USD"|"2016-06-02 00:00:00"|"2016-07-01 00:00:00"|29|3200.0|3300.0|26|"successful"
11329|"Green Girl Accessories"|"Crafts"|"Crafts"|"US"|"USD"|"2014-10-14 00:00:00"|"2014-11-13 00:00:00"|30|10000.0|0.0|0|"failed"
11330|"3D Liquid Art: Color a picture into a 3D Liquid piece of art"|"Design"|"Design"|"US"|"USD"|"2014-08-04 00:00:00"|"2014-09-29 00:00:00"|56|25000.0|8264.0|19|"canceled"
11331|"Fire Up The Lathe - Final Flicker"|"Art"|"Art"|"US"|"USD"|"2017-03-29 00:00:00"|"2017-04-28 00:00:00"|30|500.0|20.0|2|"failed"
11332|"""The Waterman Movie"" Starring Leslie Nielsen"|"Animation"|"Film & Video"|"US"|"USD"|"2010-06-07 00:00:00"|"2010-08-07 00:00:00"|61|35000.0|13384.18|224|"failed"
11333|"Indian Cuisine Cookbook (Made in USA)"|"Cookbooks"|"Food"|"US"|"USD"|"2014-08-23 00:00:00"|"2014-10-22 00:00:00"|60|8000.0|1895.0|23|"failed"
11334|"Nine Over Nine - Monterey 2017"|"Art Books"|"Publishing"|"US"|"USD"|"2017-09-01 00:00:00"|"2017-10-01 00:00:00"|30|8000.0|8250.0|83|"successful"
11335|"The Fables of Avalon:  A Steampunk Sci-Fi Fairytale"|"Graphic Novels"|"Comics"|"US"|"USD"|"2014-11-12 00:00:00"|"2014-12-12 00:00:00"|30|4500.0|5196.0|114|"successful"
11336|"Packaging Design"|"Product Design"|"Design"|"NZ"|"NZD"|"2016-05-04 00:00:00"|"2016-06-06 00:00:00"|33|133238.84|1726.44|9|"failed"
11337|"WOODGRAIN WATCHES"|"Product Design"|"Design"|"US"|"USD"|"2017-07-25 00:00:00"|"2017-09-01 00:00:00"|38|12000.0|81921.88|444|"successful"
11338|"KICKSTALLER"|"Documentary"|"Film & Video"|"AU"|"AUD"|"2015-11-05 00:00:00"|"2015-12-05 00:00:00"|30|18033.61|18632.33|131|"successful"
11339|"Mexico Creates - Nocturnal Color Scenes"|"Art"|"Art"|"MX"|"MXN"|"2017-11-04 00:00:00"|"2017-12-04 00:00:00"|30|7372.65|0.0|0|"canceled"
11340|"kiru - the next step"|"Art"|"Art"|"US"|"USD"|"2016-09-29 00:00:00"|"2016-10-30 00:00:00"|31|600.0|225.0|4|"failed"
11341|"Días de Invierno - Película / Winter Days Film"|"Narrative Film"|"Film & Video"|"MX"|"MXN"|"2017-12-11 00:00:00"|"2018-01-10 00:00:00"|30|10464.63|4593.97|56|"live"
11342|"Barrowmaze Complete for 5e"|"Tabletop Games"|"Games"|"US"|"USD"|"2016-09-21 00:00:00"|"2016-10-20 00:00:00"|29|6000.0|10876.0|215|"successful"
11343|"Seaworthy"|"Video Games"|"Games"|"US"|"USD"|"2015-02-06 00:00:00"|"2015-03-10 00:00:00"|32|44000.0|25390.0|412|"failed"
11344|"Vidcode: A Coding App Created with Girls in Mind"|"Technology"|"Technology"|"US"|"USD"|"2014-09-22 00:00:00"|"2014-10-22 00:00:00"|30|25000.0|31803.0|526|"successful"
11345|"Spark Core: Wi-Fi for Everything (Arduino Compatible)"|"DIY Electronics"|"Technology"|"US"|"USD"|"2013-05-02 00:00:00"|"2013-06-02 00:00:00"|31|10000.0|567968.41|5549|"successful"
11346|"RAW:HOLLYWOOD PRESENTS FUTURES"|"Photography"|"Photography"|"US"|"USD"|"2015-12-02 00:00:00"|"2015-12-22 00:00:00"|20|500.0|765.0|21|"successful"
11347|"THE WATCHMAN OF EPHRAIM (Audiobook Edition)"|"Fiction"|"Publishing"|"US"|"USD"|"2012-02-24 00:00:00"|"2012-03-25 00:00:00"|30|26000.0|5.0|1|"failed"
11348|"Get Luminata to the finish line! A YA Fantasy Fiction Novel"|"Young Adult"|"Publishing"|"US"|"USD"|"2017-06-05 00:00:00"|"2017-07-05 00:00:00"|30|2000.0|2620.0|34|"successful"
11349|"Dead Ring Mutes"|"Music"|"Music"|"US"|"USD"|"2014-07-28 00:00:00"|"2014-08-27 00:00:00"|30|9000.0|15.0|1|"failed"
11350|"The Next Step"|"Shorts"|"Film & Video"|"US"|"USD"|"2012-03-08 00:00:00"|"2012-04-07 00:00:00"|30|3000.0|11650.55|93|"successful"
11351|"ndur: a tangible case"|"Technology"|"Technology"|"US"|"USD"|"2013-02-15 00:00:00"|"2013-03-17 00:00:00"|30|50000.0|441.0|7|"failed"
11352|"King of the Skippers: A card game with character."|"Tabletop Games"|"Games"|"US"|"USD"|"2016-08-26 00:00:00"|"2016-09-26 00:00:00"|31|10000.0|4497.0|138|"canceled"
11353|"Behind the Mask"|"Nonfiction"|"Publishing"|"US"|"USD"|"2013-05-23 00:00:00"|"2013-07-22 00:00:00"|60|3000.0|221.0|5|"failed"
